framework,version,N,elapsed_sec,bandwidth_gbs,status,hierarchy
omp_off,v1,117500000,0.030128,31.200210,ok,COMPOSITE
omp_off,v2,117500000,0.030322,62.001522,ok,COMPOSITE
omp_off,v4,117500000,0.089274,31.588169,ok,COMPOSITE
sycl,v1,117500000,0.012420,75.684752,ok,COMPOSITE
sycl,v2,117500000,0.044865,41.903588,ok,COMPOSITE
sycl,v4,117500000,0.041975,67.182813,ok,COMPOSITE
omp_off,v1,217500000,0.055373,31.423283,ok,COMPOSITE
omp_off,v2,217500000,0.055487,62.717217,ok,COMPOSITE
omp_off,v4,217500000,0.165077,31.621612,ok,COMPOSITE
sycl,v1,217500000,0.022925,75.899214,ok,COMPOSITE
sycl,v2,217500000,0.057859,60.146276,ok,COMPOSITE
sycl,v4,217500000,0.051909,100.560655,ok,COMPOSITE
omp_off,v1,318750000,0.080782,31.566463,ok,COMPOSITE
omp_off,v2,318750000,0.080938,63.011301,ok,COMPOSITE
omp_off,v4,318750000,0.241874,31.628040,ok,COMPOSITE
sycl,v1,318750000,0.033559,75.985927,ok,COMPOSITE
sycl,v2,318750000,0.069206,73.693033,ok,COMPOSITE
sycl,v4,318750000,0.063006,121.417154,ok,COMPOSITE
omp_off,v1,418750000,0.106070,31.582905,ok,COMPOSITE
omp_off,v2,418750000,0.106318,63.018493,ok,COMPOSITE
omp_off,v4,418750000,0.317065,31.696971,ok,COMPOSITE
sycl,v1,418750000,0.044112,75.943111,ok,COMPOSITE
sycl,v2,418750000,0.082193,81.515559,ok,COMPOSITE
sycl,v4,418750000,0.072813,138.024739,ok,COMPOSITE
omp_off,v1,520000000,0.131493,31.636643,ok,COMPOSITE
omp_off,v2,520000000,0.131813,63.119699,ok,COMPOSITE
omp_off,v4,520000000,0.393520,31.713754,ok,COMPOSITE
sycl,v1,520000000,0.054716,76.028796,ok,COMPOSITE
sycl,v2,520000000,0.095395,87.216448,ok,COMPOSITE
sycl,v4,520000000,0.083573,149.330767,ok,COMPOSITE
omp_off,v1,1240000000,0.312912,31.702205,ok,COMPOSITE
omp_off,v2,1240000000,0.313049,63.376644,ok,COMPOSITE
omp_off,v4,1240000000,0.937889,31.730830,ok,COMPOSITE
sycl,v1,1240000000,0.130404,76.071289,ok,COMPOSITE
sycl,v2,1240000000,0.186617,106.313924,ok,COMPOSITE
sycl,v4,1240000000,0.159886,186.132755,ok,COMPOSITE
