GB,variant,Method,cycle_ms,n_reps
5,ompgpu1,OpenMP Off. (1 GPU),5.299427,3
5,ompgpu2halo,OpenMP Off. (2 GPUs),3.000161,3
5,ompgpu4halo,OpenMP Off. (4 GPUs),1.823371,3
10,ompgpu1,OpenMP Off. (1 GPU),10.369167,3
10,ompgpu2halo,OpenMP Off. (2 GPUs),5.545982,3
10,ompgpu4halo,OpenMP Off. (4 GPUs),3.102957,3
20,ompgpu1,OpenMP Off. (1 GPU),21.473323,3
20,ompgpu2halo,OpenMP Off. (2 GPUs),10.939198,3
20,ompgpu4halo,OpenMP Off. (4 GPUs),5.869509,3
30,ompgpu1,OpenMP Off. (1 GPU),33.090882,3
30,ompgpu2halo,OpenMP Off. (2 GPUs),16.693074,3
30,ompgpu4halo,OpenMP Off. (4 GPUs),8.373862,3
40,ompgpu1,OpenMP Off. (1 GPU),44.665594,3
40,ompgpu2halo,OpenMP Off. (2 GPUs),22.476915,3
40,ompgpu4halo,OpenMP Off. (4 GPUs),11.230343,3
50,ompgpu1,OpenMP Off. (1 GPU),56.341627,3
50,ompgpu2halo,OpenMP Off. (2 GPUs),28.236775,3
50,ompgpu4halo,OpenMP Off. (4 GPUs),14.104046,3
