rep,job_id,variant,gb_target,impl,backend,order,rows,nnz,nnz_row,mean_bandwidth,footprint_gb,iters,relres,cycle_ms,spmv_ms,other_ms,spmv_share,gbs,best_ms,spread_pct,runs,par,halo_ms,wall_sec,status
3,45573437,ompgpu1,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.037,167,9.465968e-09,5.299427,3.527210,1.772217,66.6,1284.66,5.287970,0.22,3,1,N/A,25.5650,ok
3,45573437,ompgpu2,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.881,167,9.441634e-09,3.590065,2.545604,1.044461,70.9,1780.04,3.589651,0.01,3,2,0.000000,26.0450,ok
3,45573437,ompgpu2halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.885,167,9.441634e-09,2.994291,1.940917,1.053374,64.8,2334.61,2.986638,0.26,3,2,0.000000,26.8410,ok
3,45573437,ompgpu4,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.568,167,9.466829e-09,3.292867,2.456577,0.836291,74.6,1844.55,3.281855,0.34,3,4,0.000000,27.8890,ok
3,45573437,ompgpu4halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.580,167,9.466829e-09,1.823371,1.110660,0.712711,60.9,4079.81,1.810876,0.69,3,4,0.000000,27.2490,ok
3,45573437,ompgpu1,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,10.084,168,9.109153e-09,10.369167,7.125443,3.243724,68.7,1273.14,10.367945,0.01,3,1,N/A,50.3940,ok
3,45573437,ompgpu2,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.771,168,9.111817e-09,6.881500,4.975325,1.906175,72.3,1823.34,6.848302,0.48,3,2,0.000000,50.8370,ok
3,45573437,ompgpu2halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.777,168,9.111817e-09,5.562402,3.715162,1.847239,66.8,2441.81,5.556661,0.10,3,2,0.000000,50.4460,ok
3,45573437,ompgpu4,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.145,168,9.221060e-09,5.774548,4.598170,1.176377,79.6,1972.89,5.762843,0.20,3,4,0.000000,52.0420,ok
3,45573437,ompgpu4halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.164,168,9.221060e-09,3.102957,1.988874,1.114082,64.1,4561.23,3.058863,1.44,3,4,0.000000,51.0150,ok
3,45573437,ompgpu1,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,20.183,169,9.113259e-09,21.464808,15.207883,6.256925,70.9,1194.04,21.458947,0.03,3,1,N/A,101.0120,ok
3,45573437,ompgpu2,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,23.557,169,9.109788e-09,13.371514,10.015304,3.356210,74.9,1813.11,13.367387,0.03,3,2,0.000000,100.0810,ok
3,45573437,ompgpu2halo,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,23.567,169,9.109788e-09,10.947781,7.527509,3.420272,68.8,2412.34,10.945813,0.02,3,2,0.000000,99.8130,ok
3,45573437,ompgpu4,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,30.305,169,9.107206e-09,10.952576,9.042744,1.909832,82.6,2008.12,10.940770,0.11,3,4,0.000000,100.8200,ok
3,45573437,ompgpu4halo,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,30.335,169,9.107206e-09,5.882462,3.902965,1.979497,66.3,4652.59,5.807061,1.30,3,4,0.000000,98.9630,ok
3,45573437,ompgpu1,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,30.286,168,9.428082e-09,33.060207,23.755964,9.304242,71.9,1147.06,33.045127,0.05,3,1,N/A,151.2090,ok
3,45573437,ompgpu2,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,35.347,168,9.445175e-09,20.523530,15.540113,4.983417,75.7,1753.49,20.467671,0.27,3,2,0.000000,149.0900,ok
3,45573437,ompgpu2halo,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,35.360,168,9.445175e-09,16.686676,11.730161,4.956515,70.3,2323.03,16.682051,0.03,3,2,0.000000,148.6320,ok
3,45573437,ompgpu4,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,45.468,168,9.443239e-09,16.076428,13.450695,2.625734,83.7,2025.88,16.006891,0.43,3,4,0.000000,148.9460,ok
3,45573437,ompgpu4halo,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,45.508,168,9.443239e-09,8.373862,5.674419,2.699443,67.8,4802.16,8.328440,0.55,3,4,0.000000,146.3250,ok
3,45573437,ompgpu1,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,40.392,171,9.281167e-09,44.665594,32.307165,12.358428,72.3,1124.93,44.659595,0.01,3,1,N/A,202.3780,ok
