GB,variant,Method,cycle_ms,n_reps
5,ompgpu1,OpenMP Off. (1 GPU),9.038846,3
5,ompgpu2halo,OpenMP Off. (2 GPUs),4.565905,3
5,ompgpu4halo,OpenMP Off. (4 GPUs),2.470466,3
10,ompgpu1,OpenMP Off. (1 GPU),18.263250,3
10,ompgpu2halo,OpenMP Off. (2 GPUs),9.363644,3
10,ompgpu4halo,OpenMP Off. (4 GPUs),4.760848,3
20,ompgpu1,OpenMP Off. (1 GPU),36.593990,3
20,ompgpu2halo,OpenMP Off. (2 GPUs),18.758427,3
20,ompgpu4halo,OpenMP Off. (4 GPUs),9.625043,3
30,ompgpu1,OpenMP Off. (1 GPU),54.640924,3
30,ompgpu2halo,OpenMP Off. (2 GPUs),28.116994,3
30,ompgpu4halo,OpenMP Off. (4 GPUs),14.439368,3
40,ompgpu1,OpenMP Off. (1 GPU),73.305273,3
40,ompgpu2halo,OpenMP Off. (2 GPUs),37.438645,3
40,ompgpu4halo,OpenMP Off. (4 GPUs),19.143832,3
50,ompgpu1,OpenMP Off. (1 GPU),91.648478,3
50,ompgpu2halo,OpenMP Off. (2 GPUs),46.701446,3
50,ompgpu4halo,OpenMP Off. (4 GPUs),23.898694,3
