rep,job_id,variant,gb_target,impl,backend,order,rows,nnz,nnz_row,mean_bandwidth,footprint_gb,iters,relres,cycle_ms,spmv_ms,other_ms,spmv_share,gbs,best_ms,spread_pct,runs,par,halo_ms,wall_sec,status
5,535294,ompgpu1,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.037,167,9.523017e-09,9.045009,7.078863,1.966146,78.3,640.11,9.042893,0.02,3,1,N/A,26.9290,ok
5,535294,ompgpu2,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.881,167,9.461833e-09,7.284846,6.462685,0.822161,88.7,701.14,7.284220,0.01,3,2,0.000000,26.3740,ok
5,535294,ompgpu2halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.885,167,9.461833e-09,4.588029,3.733562,0.854467,81.4,1213.66,4.573982,0.31,3,2,0.000000,24.9250,ok
5,535294,ompgpu4,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.568,167,9.321406e-09,7.138002,6.685669,0.452333,93.7,677.76,7.123190,0.21,3,4,0.000000,26.5690,ok
5,535294,ompgpu4halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.580,167,9.321406e-09,2.470466,2.029895,0.440571,82.2,2232.27,2.447319,0.95,3,4,0.000000,23.4560,ok
5,535294,ompgpu1,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,10.084,168,9.168173e-09,18.343196,14.153808,4.189388,77.2,640.94,18.342369,0.00,3,1,N/A,50.8360,ok
5,535294,ompgpu2,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.771,168,9.234216e-09,14.828070,12.820692,2.007378,86.5,707.58,14.826371,0.01,3,2,0.000000,51.0820,ok
5,535294,ompgpu2halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.777,168,9.234216e-09,9.358012,7.356748,2.001264,78.6,1233.11,9.342147,0.17,3,2,0.000000,47.9320,ok
5,535294,ompgpu4,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.145,168,9.202141e-09,14.136823,13.165901,0.970922,93.1,689.03,14.094731,0.30,3,4,0.000000,50.4530,ok
5,535294,ompgpu4halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.164,168,9.202141e-09,4.760848,3.866385,0.894463,81.2,2346.30,4.744458,0.35,3,4,0.000000,45.9520,ok
5,535294,ompgpu1,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,20.183,169,9.110785e-09,36.593990,28.232139,8.361851,77.1,643.20,36.592355,0.00,3,1,N/A,102.0960,ok
