GB,variant,Method,cycle_ms,n_reps
5,ompgpu1,OpenMP Off. (1 GCD),49.958658,3
5,ompgpu2halo,OpenMP Off. (2 GCDs),25.437715,3
5,ompgpu4halo,OpenMP Off. (4 GCDs),12.849044,3
10,ompgpu1,OpenMP Off. (1 GCD),100.957881,3
10,ompgpu2halo,OpenMP Off. (2 GCDs),50.559826,3
10,ompgpu4halo,OpenMP Off. (4 GCDs),25.262435,3
20,ompgpu1,OpenMP Off. (1 GCD),205.528918,3
20,ompgpu2halo,OpenMP Off. (2 GCDs),103.023802,3
20,ompgpu4halo,OpenMP Off. (4 GCDs),54.648182,3
30,ompgpu1,OpenMP Off. (1 GCD),305.296753,3
30,ompgpu2halo,OpenMP Off. (2 GCDs),154.893715,3
30,ompgpu4halo,OpenMP Off. (4 GCDs),78.094790,3
40,ompgpu1,OpenMP Off. (1 GCD),413.761313,3
40,ompgpu2halo,OpenMP Off. (2 GCDs),208.513768,3
40,ompgpu4halo,OpenMP Off. (4 GCDs),104.709276,3
50,ompgpu1,OpenMP Off. (1 GCD),511.361992,3
50,ompgpu2halo,OpenMP Off. (2 GCDs),259.070828,3
50,ompgpu4halo,OpenMP Off. (4 GCDs),138.249955,3
