rep,job_id,variant,gb_target,impl,backend,order,rows,nnz,nnz_row,mean_bandwidth,footprint_gb,iters,relres,cycle_ms,spmv_ms,other_ms,spmv_share,gbs,best_ms,spread_pct,runs,par,halo_ms,wall_sec,status
1,21848584,ompgpu1,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.037,167,9.459831e-09,49.315321,46.910917,2.404404,95.1,96.59,49.306353,0.02,3,1,N/A,36.2940,ok
1,21848584,ompgpu2,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.881,167,9.465177e-09,28.214714,26.670790,1.543924,94.5,169.90,28.206219,0.03,3,2,0.000000,18.1250,ok
1,21848584,ompgpu2halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.885,167,9.465177e-09,23.843012,22.262408,1.580604,93.4,203.54,23.839295,0.02,3,2,0.000000,15.9500,ok
1,21848584,ompgpu4,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.568,167,9.379220e-09,17.487487,16.473889,1.013598,94.2,275.06,17.478274,0.05,3,4,0.000000,13.1730,ok
1,21848584,ompgpu4halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.580,167,9.379220e-09,13.057894,12.018011,1.039882,92.0,377.04,13.021057,0.28,3,4,0.000000,10.9430,ok
1,21848584,ompgpu1,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,10.084,167,9.890726e-09,100.957881,96.458030,4.499851,95.5,94.05,100.955845,0.00,3,1,N/A,58.2720,ok
1,21848584,ompgpu2,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.771,168,9.114724e-09,59.079093,55.748640,3.330453,94.4,162.73,58.241598,1.44,3,2,0.000000,37.8350,ok
1,21848584,ompgpu2halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.777,168,9.114724e-09,50.559826,47.799875,2.759951,94.5,189.79,50.555101,0.01,3,2,0.000000,33.6850,ok
1,21848584,ompgpu4,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.145,168,9.248915e-09,36.219500,34.577404,1.642097,95.5,262.36,36.216814,0.01,3,4,0.000000,27.1600,ok
1,21848584,ompgpu4halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.164,168,9.248915e-09,24.948866,23.332611,1.616255,93.5,388.80,24.939169,0.04,3,4,0.000000,21.5650,ok
1,21848584,ompgpu1,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,20.183,169,9.106102e-09,205.392148,196.633229,8.758919,95.7,92.35,205.368349,0.01,3,1,N/A,119.5320,ok
1,21848584,ompgpu2,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,23.557,169,9.128358e-09,112.244838,106.851863,5.392975,95.2,169.94,112.241877,0.00,3,2,0.000000,73.2060,ok
1,21848584,ompgpu2halo,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,23.567,169,9.128358e-09,102.492277,97.104314,5.387963,94.7,187.00,102.488887,0.00,3,2,0.000000,68.4220,ok
1,21848584,ompgpu4,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,30.305,169,9.109535e-09,73.786010,70.898172,2.887838,96.1,256.13,73.782121,0.01,3,4,0.000000,55.0440,ok
1,21848584,ompgpu4halo,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,30.335,169,9.109535e-09,54.648182,51.726882,2.921300,94.7,351.05,54.533113,0.21,3,4,0.000000,45.8350,ok
1,21848584,ompgpu1,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,30.286,168,9.425903e-09,305.231207,292.006991,13.224216,95.7,93.32,305.214092,0.01,3,1,N/A,177.2270,ok
1,21848584,ompgpu2,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,35.347,168,9.446114e-09,169.166992,160.726291,8.440701,95.0,169.54,169.025587,0.08,3,2,0.000000,110.0460,ok
1,21848584,ompgpu2halo,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,35.360,168,9.446114e-09,154.893715,146.196669,8.697046,94.4,186.39,154.245715,0.42,3,2,0.000000,102.8570,ok
1,21848584,ompgpu4,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,45.468,168,9.443046e-09,108.951148,104.712147,4.239001,96.1,260.23,108.876216,0.07,3,4,0.000000,81.6790,ok
1,21848584,ompgpu4halo,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,45.508,168,9.443046e-09,77.865800,73.680323,4.185477,94.6,369.83,77.846586,0.02,3,4,0.000000,66.1820,ok
1,21848584,ompgpu1,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,40.392,171,9.324093e-09,413.761313,396.370112,17.391200,95.8,91.69,413.684699,0.02,3,1,N/A,243.0980,ok
1,21848584,ompgpu2,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,47.139,171,9.279968e-09,229.346748,217.680975,11.665773,94.9,166.96,228.214848,0.50,3,2,0.000000,150.3460,ok
1,21848584,ompgpu2halo,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,47.156,171,9.279968e-09,208.513768,197.716464,10.797305,94.8,183.81,208.507048,0.00,3,2,0.000000,139.8490,ok
1,21848584,ompgpu4,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,60.635,171,9.283285e-09,148.542138,142.914041,5.628097,96.2,254.30,148.463291,0.05,3,4,0.000000,110.7710,ok
1,21848584,ompgpu4halo,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,60.683,171,9.283285e-09,104.709276,99.125062,5.584215,94.7,366.64,104.705493,0.00,3,4,0.000000,89.0620,ok
1,21848584,ompgpu1,50,gpu,omp,natural,210863697,3364739477,15.96,190562.8,50.498,169,9.799500e-09,510.450424,488.778118,21.672306,95.8,92.96,510.431716,0.00,3,1,N/A,297.7390,ok
1,21848584,ompgpu2,50,gpu,omp,natural,210863697,3364739477,15.96,190562.8,58.933,169,9.799338e-09,283.465061,269.927739,13.537322,95.2,168.33,283.444965,0.01,3,2,0.000000,184.6080,ok
1,21848584,ompgpu2halo,50,gpu,omp,natural,210863697,3364739477,15.96,190562.8,58.952,169,9.799338e-09,258.839727,245.329638,13.510089,94.8,185.21,258.819091,0.01,3,2,0.000000,172.0480,ok
1,21848584,ompgpu4,50,gpu,omp,natural,210863697,3364739477,15.96,190562.8,75.802,169,9.799288e-09,183.358378,176.197843,7.160535,96.1,257.88,183.136978,0.12,3,4,0.000000,135.9760,ok
1,21848584,ompgpu4halo,50,gpu,omp,natural,210863697,3364739477,15.96,190562.8,75.858,169,9.799288e-09,130.580418,123.595133,6.985286,94.7,367.63,130.574120,0.00,3,4,0.000000,110.3430,ok
