variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps
1-omp,1,512,5,0,8.5323,8.6996,8.8507,3.7,501
1-omp,1,640,5,0,16.8711,17.0040,17.2682,2.3,500
1-omp,1,768,5,0,29.3691,30.7289,31.2967,6.3,501
1-omp,1,896,5,0,48.0468,48.0747,48.7373,1.4,501
1-omp,1,1024,5,0,72.5351,73.3091,73.5772,1.4,501
1-omp,1,1152,5,0,101.5404,103.8462,105.2659,3.6,500
1-omp,1,1280,5,0,142.6889,143.8277,144.5302,1.3,500
2-omp,2,512,5,0,8.2130,8.2981,8.3283,1.4,501
2-omp,2,640,5,0,16.7765,16.8670,17.1228,2.1,500
2-omp,2,768,5,0,29.5945,30.0337,30.3347,2.5,501
2-omp,2,896,5,0,46.7715,47.6947,47.7971,2.2,501
2-omp,2,1024,5,0,72.5841,73.3898,73.8846,1.8,501
2-omp,2,1152,5,0,103.2411,103.3778,106.6313,3.3,500
2-omp,2,1280,5,0,142.3343,145.1294,147.2788,3.4,500
2-omp-stream,2,512,5,0,8.2156,8.4999,8.5896,4.4,501
2-omp-stream,2,640,5,0,16.5839,16.7564,17.0657,2.9,500
2-omp-stream,2,768,5,0,29.6491,29.7139,29.9140,0.9,501
2-omp-stream,2,896,5,0,46.7682,47.2856,48.3390,3.3,501
2-omp-stream,2,1024,5,0,72.5943,73.2761,73.5164,1.3,501
2-omp-stream,2,1152,5,0,102.5473,104.1917,106.3761,3.7,500
2-omp-stream,2,1280,5,0,142.5264,144.9306,146.8418,3.0,500
2-omp-stream-omp,2,512,5,0,4.1963,4.2063,4.2906,2.2,501
2-omp-stream-omp,2,640,5,0,8.3327,8.4726,8.5101,2.1,500
2-omp-stream-omp,2,768,5,0,14.7616,15.1271,15.1982,2.9,501
2-omp-stream-omp,2,896,5,0,23.4448,23.9988,24.3144,3.6,501
2-omp-stream-omp,2,1024,5,0,36.3616,36.8789,36.9390,1.6,501
2-omp-stream-omp,2,1152,5,0,51.9175,52.5768,53.1086,2.3,500
2-omp-stream-omp,2,1280,5,0,71.2841,73.0758,73.4291,2.9,500
2-omp-stream-omp-p2p,2,512,5,0,4.2001,4.3112,4.3536,3.6,501
2-omp-stream-omp-p2p,2,640,5,0,8.3895,8.5276,8.6276,2.8,500
2-omp-stream-omp-p2p,2,768,5,0,14.7550,15.1366,15.1890,2.9,501
2-omp-stream-omp-p2p,2,896,5,0,23.4285,23.7564,24.2558,3.5,501
2-omp-stream-omp-p2p,2,1024,5,0,36.2426,36.9227,36.9705,2.0,501
2-omp-stream-omp-p2p,2,1152,5,0,52.0039,52.4984,53.3194,2.5,500
2-omp-stream-omp-p2p,2,1280,5,0,71.2653,73.1490,73.2295,2.7,500
4-omp,4,512,5,0,8.1270,8.2542,8.2648,1.7,501
4-omp,4,640,5,0,16.7033,16.8153,17.0827,2.3,500
4-omp,4,768,5,0,29.2475,29.7418,30.0075,2.6,501
4-omp,4,896,5,0,47.0586,47.4069,48.0168,2.0,501
4-omp,4,1024,5,0,72.4089,72.8212,73.0109,0.8,501
4-omp,4,1152,5,0,103.8186,104.6577,105.6087,1.7,500
4-omp,4,1280,5,0,143.6385,145.4208,146.3072,1.8,500
4-omp-stream,4,512,5,0,8.1808,8.2423,8.5448,4.4,501
4-omp-stream,4,640,5,0,16.5481,16.9552,17.0823,3.2,500
4-omp-stream,4,768,5,0,28.9318,29.6734,30.0651,3.8,501
4-omp-stream,4,896,5,0,47.0208,47.4151,47.7518,1.5,501
4-omp-stream,4,1024,5,0,71.8823,72.7352,72.9290,1.4,501
4-omp-stream,4,1152,5,0,102.9300,105.1085,106.6338,3.5,500
4-omp-stream,4,1280,5,0,143.8470,145.3311,146.8908,2.1,500
4-omp-stream-omp,4,512,5,0,2.1199,2.1408,2.1843,3.0,501
4-omp-stream-omp,4,640,5,0,4.2526,4.2991,4.3386,2.0,500
4-omp-stream-omp,4,768,5,0,7.5685,7.5948,7.6727,1.4,501
4-omp-stream-omp,4,896,5,0,11.9360,12.0519,12.0730,1.1,501
4-omp-stream-omp,4,1024,5,0,18.2500,18.4290,18.4810,1.3,501
4-omp-stream-omp,4,1152,5,0,26.1154,26.4880,26.7988,2.6,500
4-omp-stream-omp,4,1280,5,0,36.4798,36.7267,36.7373,0.7,500
4-omp-stream-omp-p2p,4,512,5,0,2.1199,2.1408,2.1843,3.0,501
4-omp-stream-omp-p2p,4,640,5,0,4.2252,4.2465,4.3177,2.2,500
4-omp-stream-omp-p2p,4,768,5,0,7.3773,7.5525,7.5893,2.8,501
4-omp-stream-omp-p2p,4,896,5,0,11.6934,11.7868,11.9542,2.2,501
4-omp-stream-omp-p2p,4,1024,5,0,18.2500,18.4290,18.4810,1.3,501
4-omp-stream-omp-p2p,4,1152,5,0,25.9423,26.1999,26.4902,2.1,500
4-omp-stream-omp-p2p,4,1280,5,0,36.3877,36.6023,36.7178,0.9,500
