variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps
1-omp,1,512,5,0,3.3899,3.4787,3.5211,3.8,501
1-omp,1,640,5,0,6.3139,6.5958,6.7943,7.3,500
1-omp,1,768,5,0,10.8224,10.9848,11.1874,3.3,501
1-omp,1,896,5,0,16.4769,16.8264,17.0856,3.6,501
1-omp,1,1024,5,0,23.1391,24.5710,25.1118,8.0,501
1-omp,1,1152,5,0,35.5018,35.7863,36.1565,1.8,500
1-omp,1,1280,5,0,48.5559,48.9973,50.1871,3.3,500
2-omp,2,512,5,0,4.0502,4.0579,4.5046,11.2,501
2-omp,2,640,5,0,6.4138,6.6170,6.9149,7.6,500
2-omp,2,768,5,0,10.6540,10.7370,11.7865,10.5,501
2-omp,2,896,5,0,14.9301,15.2032,16.0673,7.5,501
2-omp,2,1024,5,0,20.0849,20.6670,22.2759,10.6,501
2-omp,2,1152,5,0,29.5272,30.1921,30.9236,4.6,500
2-omp,2,1280,5,0,40.1662,40.5336,41.4282,3.1,500
2-omp-stream,2,512,5,0,3.7204,4.0716,4.4574,18.1,501
2-omp-stream,2,640,5,0,6.3901,6.5899,7.0281,9.7,500
2-omp-stream,2,768,5,0,10.4987,10.7108,11.7318,11.5,501
2-omp-stream,2,896,5,0,15.1560,15.3068,16.4147,8.2,501
2-omp-stream,2,1024,5,0,20.1114,20.9308,22.0844,9.4,501
2-omp-stream,2,1152,5,0,29.4320,30.0918,30.9049,4.9,500
2-omp-stream,2,1280,5,0,40.1603,40.3143,41.2483,2.7,500
2-omp-stream-omp,2,512,5,0,2.4640,2.6115,2.6751,8.1,501
2-omp-stream-omp,2,640,5,0,3.8904,4.0662,4.1266,5.8,500
2-omp-stream-omp,2,768,5,0,6.5808,6.7778,6.9435,5.4,501
2-omp-stream-omp,2,896,5,0,9.8647,9.9841,10.0758,2.1,501
2-omp-stream-omp,2,1024,5,0,13.6684,14.0832,14.5856,6.5,501
2-omp-stream-omp,2,1152,5,0,20.4070,20.9213,21.1939,3.8,500
2-omp-stream-omp,2,1280,5,0,27.1665,27.2343,27.5845,1.5,500
2-omp-stream-omp-p2p,2,512,5,0,1.9254,1.9503,1.9783,2.7,501
2-omp-stream-omp-p2p,2,640,5,0,3.4444,3.5731,3.6904,6.9,500
2-omp-stream-omp-p2p,2,768,5,0,5.8088,5.8278,5.8750,1.1,501
2-omp-stream-omp-p2p,2,896,5,0,8.8257,8.9243,8.9815,1.7,501
2-omp-stream-omp-p2p,2,1024,5,0,12.2206,12.8745,13.4330,9.4,501
2-omp-stream-omp-p2p,2,1152,5,0,18.7533,19.2180,19.3616,3.2,500
2-omp-stream-omp-p2p,2,1280,5,0,25.1062,25.4321,25.7348,2.5,500
4-omp,4,512,5,0,7.2572,7.6537,7.9906,9.6,501
4-omp,4,640,5,0,9.7726,10.3299,10.9026,10.9,500
4-omp,4,768,5,0,16.0055,16.7286,17.2345,7.3,501
4-omp,4,896,5,0,20.5455,21.8230,22.1821,7.5,501
4-omp,4,1024,5,0,27.0022,28.5619,29.6704,9.3,501
4-omp,4,1152,5,0,35.5219,36.7217,37.5459,5.5,500
4-omp,4,1280,5,0,45.4584,47.0661,49.3246,8.2,500
4-omp-stream,4,512,5,0,7.5142,7.7550,7.9305,5.4,501
4-omp-stream,4,640,5,0,9.6764,10.6417,10.9297,11.8,500
4-omp-stream,4,768,5,0,15.9255,16.6799,17.5971,10.0,501
4-omp-stream,4,896,5,0,20.0226,21.5469,22.1295,9.8,501
4-omp-stream,4,1024,5,0,26.8520,27.7643,28.7280,6.8,501
4-omp-stream,4,1152,5,0,35.6777,36.8578,37.7482,5.6,500
4-omp-stream,4,1280,5,0,45.4116,47.8399,49.4278,8.4,500
4-omp-stream-omp,4,512,5,0,3.2496,3.4800,3.6591,11.8,501
4-omp-stream-omp,4,640,5,0,4.3343,4.5034,4.6092,6.1,500
4-omp-stream-omp,4,768,5,0,7.5744,7.8716,8.4392,11.0,501
4-omp-stream-omp,4,896,5,0,8.2510,9.6494,10.0511,18.7,501
4-omp-stream-omp,4,1024,5,0,10.4182,11.4745,11.8138,12.2,501
4-omp-stream-omp,4,1152,5,0,13.6949,13.8483,14.5478,6.2,500
4-omp-stream-omp,4,1280,5,0,17.2017,17.4242,17.5113,1.8,500
4-omp-stream-omp-p2p,4,512,5,0,1.7040,1.8168,1.8235,6.6,501
4-omp-stream-omp-p2p,4,640,5,0,2.4795,2.5084,2.5618,3.3,500
4-omp-stream-omp-p2p,4,768,5,0,3.6206,3.6764,3.7031,2.2,501
4-omp-stream-omp-p2p,4,896,5,0,5.1843,5.2206,5.2502,1.3,501
4-omp-stream-omp-p2p,4,1024,5,0,6.9589,7.2633,7.5232,7.8,501
4-omp-stream-omp-p2p,4,1152,5,0,10.2516,10.4831,10.5898,3.2,500
4-omp-stream-omp-p2p,4,1280,5,0,13.7246,13.8195,13.9195,1.4,500
