variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps
1-omp,1,512,5,0,3.4419,3.6701,3.6745,6.3,501
1-omp,1,640,5,0,6.1325,6.1538,6.1583,0.4,500
1-omp,1,768,5,0,13.0932,13.6845,13.7271,4.6,501
1-omp,1,896,5,0,21.5975,21.6177,21.7350,0.6,501
1-omp,1,1024,5,0,34.2733,34.6527,34.7118,1.3,501
1-omp,1,1152,5,0,48.5030,49.6165,49.6640,2.3,500
1-omp,1,1280,5,0,63.7640,65.6739,65.8365,3.2,500
2-omp,2,512,5,0,3.8148,3.9807,4.0208,5.2,501
2-omp,2,640,5,0,5.5364,5.8281,5.8458,5.3,500
2-omp,2,768,5,0,13.5667,13.9273,14.1440,4.1,501
2-omp,2,896,5,0,21.3400,21.4701,21.5221,0.8,501
2-omp,2,1024,5,0,34.6025,34.9529,35.0010,1.1,501
2-omp,2,1152,5,0,49.8412,50.0924,50.4933,1.3,500
2-omp,2,1280,5,0,63.1261,64.9754,65.2324,3.2,500
2-omp-stream,2,512,5,0,3.8149,3.9932,4.0359,5.5,501
2-omp-stream,2,640,5,0,5.5259,5.7928,5.8346,5.3,500
2-omp-stream,2,768,5,0,13.5756,13.9124,14.2016,4.5,501
2-omp-stream,2,896,5,0,21.3644,21.4792,21.5167,0.7,501
2-omp-stream,2,1024,5,0,34.6033,34.9588,34.9924,1.1,501
2-omp-stream,2,1152,5,0,49.8033,50.1339,50.5345,1.5,500
2-omp-stream,2,1280,5,0,63.1387,65.0476,65.2262,3.2,500
2-omp-stream-omp,2,512,5,0,1.6966,1.7889,1.8045,6.0,501
2-omp-stream-omp,2,640,5,0,2.5977,2.6425,2.6618,2.4,500
2-omp-stream-omp,2,768,5,0,6.6049,6.8266,6.8779,4.0,501
2-omp-stream-omp,2,896,5,0,10.2979,10.3298,10.4069,1.1,501
2-omp-stream-omp,2,1024,5,0,16.8500,16.9106,16.9503,0.6,501
2-omp-stream-omp,2,1152,5,0,24.4708,24.6481,24.6746,0.8,500
2-omp-stream-omp,2,1280,5,0,30.5894,31.8793,32.0304,4.5,500
2-omp-stream-omp-p2p,2,512,5,0,1.6529,1.7469,1.7519,5.7,501
2-omp-stream-omp-p2p,2,640,5,0,2.5984,2.6221,2.6258,1.0,500
2-omp-stream-omp-p2p,2,768,5,0,6.5392,6.7220,6.7624,3.3,501
2-omp-stream-omp-p2p,2,896,5,0,10.2076,10.2561,10.2712,0.6,501
2-omp-stream-omp-p2p,2,1024,5,0,16.7537,16.7814,16.7987,0.3,501
2-omp-stream-omp-p2p,2,1152,5,0,24.3492,24.3947,24.4450,0.4,500
2-omp-stream-omp-p2p,2,1280,5,0,30.4766,31.6754,31.6925,3.8,500
4-omp,4,512,5,0,4.9888,5.0883,5.1320,2.8,501
4-omp,4,640,5,0,6.4570,6.6312,6.7223,4.0,500
4-omp,4,768,5,0,14.7440,15.0450,15.1428,2.7,501
4-omp,4,896,5,0,21.7147,21.8259,21.8948,0.8,501
4-omp,4,1024,5,0,36.3917,36.5087,36.7570,1.0,501
4-omp,4,1152,5,0,52.0326,52.2424,52.7084,1.3,500
4-omp,4,1280,5,0,63.8711,64.9581,65.7248,2.9,500
4-omp-stream,4,512,5,0,5.0041,5.0851,5.1165,2.2,501
4-omp-stream,4,640,5,0,6.4687,6.5548,6.7137,3.7,500
4-omp-stream,4,768,5,0,14.7693,15.0232,15.1328,2.4,501
4-omp-stream,4,896,5,0,21.7157,21.8219,21.9213,0.9,501
4-omp-stream,4,1024,5,0,36.3913,36.5629,36.7915,1.1,501
4-omp-stream,4,1152,5,0,52.1266,52.3881,52.8019,1.3,500
4-omp-stream,4,1280,5,0,63.8658,65.1034,65.7767,2.9,500
4-omp-stream-omp,4,512,5,0,1.1703,1.1706,1.2017,2.7,501
4-omp-stream-omp,4,640,5,0,1.5037,1.5275,1.5511,3.1,500
4-omp-stream-omp,4,768,5,0,3.6613,3.6915,3.7133,1.4,501
4-omp-stream-omp,4,896,5,0,5.2111,5.2401,5.3196,2.1,501
4-omp-stream-omp,4,1024,5,0,8.7149,8.8583,8.9698,2.9,501
4-omp-stream-omp,4,1152,5,0,12.6819,12.7796,13.0664,3.0,500
4-omp-stream-omp,4,1280,5,0,15.7245,16.1107,16.1288,2.5,500
4-omp-stream-omp-p2p,4,512,5,0,0.9437,0.9646,0.9686,2.6,501
4-omp-stream-omp-p2p,4,640,5,0,1.2058,1.2092,1.2163,0.9,500
4-omp-stream-omp-p2p,4,768,5,0,3.1632,3.1851,3.1946,1.0,501
4-omp-stream-omp-p2p,4,896,5,0,4.6570,4.6719,4.7007,0.9,501
4-omp-stream-omp-p2p,4,1024,5,0,8.1622,8.2127,8.2626,1.2,501
4-omp-stream-omp-p2p,4,1152,5,0,11.8988,11.9431,12.0948,1.6,500
4-omp-stream-omp-p2p,4,1280,5,0,14.8297,14.9283,14.9840,1.0,500
