variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps,machine,approach,t_per_step,t_1gpu,speedup,efficiency,t_ref,gain,baseline_eff,baseline_ok
1-omp,1,512,5,0,3.4419,3.6701,3.6745,6.3,501,H100,01,0.007325548902195609,0.007325548902195609,1.0,1.0,0.0071843984574886475,0.9807317585901779,1.0,True
1-omp,1,640,5,0,6.1325,6.1538,6.1583,0.4,500,H100,01,0.0123076,0.0123076,1.0,1.0,0.012300130464970176,0.9993930957270448,1.0,True
1-omp,1,768,5,0,13.0932,13.6845,13.7271,4.6,501,H100,01,0.02731437125748503,0.02731437125748503,1.0,1.0,0.027365644602237355,1.0018771563243754,1.0,True
1-omp,1,896,5,0,21.5975,21.6177,21.735,0.6,501,H100,01,0.043149101796407185,0.043149101796407185,1.0,1.0,0.04312960519311836,0.9995481573780883,1.0,True
1-omp,1,1024,5,0,34.2733,34.6527,34.7118,1.3,501,H100,01,0.06916706586826347,0.06916706586826347,1.0,1.0,0.06886549034751525,0.9956398971539056,1.0,True
1-omp,1,1152,5,0,48.503,49.6165,49.664,2.3,500,H100,01,0.099233,0.099233,1.0,1.0,0.09927939190889526,1.0004675048511609,1.0,True
1-omp,1,1280,5,0,63.764,65.6739,65.8365,3.2,500,H100,01,0.13134780000000001,0.13134780000000001,1.0,1.0,0.1300335558185407,0.9899941667735637,1.0,True
2-omp,2,512,5,0,3.8148,3.9807,4.0208,5.2,501,H100,01,0.007945508982035929,0.007325548902195609,0.9219735222448313,0.46098676112241566,0.005489891694034515,0.6909427333663154,0.46098676112241566,False
2-omp,2,640,5,0,5.5364,5.8281,5.8458,5.3,500,H100,01,0.0116562,0.0123076,1.0558844220243304,0.5279422110121652,0.007942959333804624,0.6814364315818726,0.5279422110121652,False
2-omp,2,768,5,0,13.5667,13.9273,14.144,4.1,501,H100,01,0.027799001996007985,0.02731437125748503,0.9825666137729495,0.49128330688647476,0.01859030553674864,0.6687400338838877,0.49128330688647476,False
2-omp,2,896,5,0,21.34,21.4701,21.5221,0.8,501,H100,01,0.04285449101796407,0.043149101796407185,1.006874676876214,0.503437338438107,0.02800230419573163,0.6534275295439494,0.503437338438107,False
2-omp,2,1024,5,0,34.6025,34.9529,35.001,1.1,501,H100,01,0.06976626746506986,0.06916706586826347,0.9914112992055022,0.4957056496027511,0.045148845858178355,0.647144350681842,0.4957056496027511,False
2-omp,2,1152,5,0,49.8412,50.0924,50.4933,1.3,500,H100,01,0.10018479999999999,0.099233,0.9904995568189986,0.4952497784094993,0.06523390365963308,0.6511357377529634,0.4952497784094993,False
2-omp,2,1280,5,0,63.1261,64.9754,65.2324,3.2,500,H100,01,0.12995079999999998,0.13134780000000001,1.0107502223918594,0.5053751111959297,0.08411355147943757,0.6472722867380392,0.5053751111959297,False
2-omp-stream,2,512,5,0,3.8149,3.9932,4.0359,5.5,501,H100,01,0.007970459081836327,0.007325548902195609,0.9190874486627267,0.45954372433136337,0.004756188513970536,0.5967270473553137,0.45954372433136337,False
2-omp-stream,2,640,5,0,5.5259,5.7928,5.8346,5.3,500,H100,01,0.0115856,0.0123076,1.062318740505455,0.5311593702527275,0.00687852988292608,0.5937137379959674,0.5311593702527275,False
2-omp-stream,2,768,5,0,13.5756,13.9124,14.2016,4.5,501,H100,01,0.02776926147704591,0.02731437125748503,0.9836189298755067,0.49180946493775335,0.016983863455133832,0.6116065949097244,0.49180946493775335,False
2-omp-stream,2,896,5,0,21.3644,21.4792,21.5167,0.7,501,H100,01,0.04287265469061876,0.043149101796407185,1.0064480986256472,0.5032240493128236,0.025983375014294156,0.6060593915118521,0.5032240493128236,False
